Valor      Frequência
905        4
347        4
912        3
753        3
548        3
535        3
445        3
137        3
111        3
77         3
985        2
978        2
966        2
961        2
959        2
949        2
943        2
932        2
906        2
892        2
873        2
858        2
855        2
850        2
849        2
839        2
829        2
806        2
802        2
786        2
757        2
752        2
723        2
711        2
707        2
706        2
699        2
689        2
685        2
670        2
657        2
644        2
631        2
626        2
572        2
555        2
553        2
529        2
522        2
508        2
480        2
471        2
465        2
457        2
440        2
438        2
433        2
397        2
384        2
383        2
362        2
354        2
344        2
318        2
311        2
297        2
295        2
293        2
283        2
278        2
276        2
267        2
259        2
247        2
237        2
221        2
220        2
213        2
151        2
141        2
124        2
120        2
116        2
115        2
101        2
94         2
90         2
57         2
53         2
23         2
18         2
7          2
6          2
999        1
996        1
992        1
982        1
975        1
972        1
971        1
965        1
964        1
963        1
957        1
954        1
952        1
950        1
946        1
942        1
940        1
939        1
934        1
933        1
929        1
924        1
922        1
919        1
918        1
916        1
910        1
904        1
902        1
900        1
899        1
894        1
893        1
888        1
885        1
883        1
882        1
881        1
880        1
879        1
876        1
875        1
870        1
856        1
845        1
843        1
840        1
838        1
837        1
831        1
826        1
825        1
823        1
821        1
817        1
816        1
812        1
811        1
804        1
794        1
789        1
788        1
785        1
783        1
781        1
780        1
778        1
776        1
775        1
772        1
769        1
768        1
762        1
756        1
749        1
741        1
740        1
736        1
732        1
728        1
722        1
718        1
716        1
715        1
713        1
708        1
703        1
696        1
695        1
692        1
691        1
688        1
687        1
679        1
678        1
677        1
674        1
668        1
662        1
658        1
653        1
650        1
632        1
628        1
625        1
622        1
620        1
617        1
615        1
613        1
603        1
601        1
600        1
591        1
590        1
585        1
584        1
580        1
574        1
571        1
570        1
568        1
566        1
565        1
564        1
563        1
560        1
557        1
556        1
552        1
550        1
545        1
540        1
537        1
534        1
527        1
526        1
517        1
515        1
514        1
510        1
509        1
507        1
496        1
494        1
486        1
485        1
481        1
478        1
477        1
470        1
469        1
466        1
458        1
454        1
453        1
449        1
448        1
443        1
442        1
441        1
439        1
437        1
430        1
429        1
426        1
419        1
417        1
416        1
413        1
412        1
409        1
405        1
404        1
402        1
401        1
400        1
396        1
392        1
391        1
377        1
376        1
375        1
374        1
371        1
367        1
358        1
357        1
351        1
342        1
338        1
332        1
331        1
330        1
327        1
325        1
319        1
317        1
313        1
310        1
307        1
303        1
302        1
299        1
292        1
289        1
288        1
287        1
280        1
279        1
277        1
274        1
272        1
271        1
266        1
265        1
260        1
253        1
250        1
248        1
244        1
240        1
238        1
234        1
233        1
231        1
229        1
227        1
217        1
216        1
215        1
214        1
208        1
206        1
201        1
198        1
194        1
192        1
188        1
187        1
186        1
185        1
183        1
177        1
176        1
174        1
172        1
170        1
167        1
163        1
159        1
155        1
150        1
146        1
140        1
138        1
134        1
130        1
126        1
114        1
110        1
109        1
105        1
104        1
102        1
95         1
93         1
87         1
86         1
82         1
81         1
80         1
79         1
75         1
74         1
71         1
69         1
68         1
65         1
60         1
54         1
52         1
51         1
47         1
43         1
42         1
40         1
38         1
37         1
36         1
31         1
27         1
22         1
19         1
16         1
13         1
12         1
11         1
4          1
3          1
2          1
0          1
