
Valor     Frequência
809       4
669       4
997       3
978       3
923       3
754       3
677       3
671       3
565       3
498       3
308       3
286       3
269       3
250       3
176       3
168       3
148       3
62        3
998       2
962       2
961       2
905       2
903       2
874       2
866       2
857       2
845       2
829       2
811       2
800       2
793       2
773       2
764       2
758       2
752       2
713       2
712       2
711       2
709       2
708       2
689       2
666       2
657       2
652       2
646       2
623       2
618       2
606       2
602       2
591       2
588       2
572       2
553       2
548       2
531       2
523       2
489       2
488       2
487       2
483       2
457       2
451       2
448       2
441       2
406       2
339       2
327       2
318       2
315       2
298       2
291       2
275       2
239       2
238       2
226       2
209       2
175       2
173       2
167       2
115       2
87        2
80        2
78        2
77        2
76        2
49        2
47        2
45        2
995       1
993       1
988       1
987       1
974       1
973       1
970       1
959       1
958       1
956       1
955       1
950       1
949       1
945       1
944       1
943       1
940       1
939       1
937       1
936       1
935       1
932       1
931       1
930       1
925       1
924       1
921       1
919       1
917       1
916       1
912       1
911       1
898       1
897       1
896       1
893       1
892       1
891       1
890       1
887       1
882       1
880       1
876       1
871       1
867       1
865       1
863       1
862       1
861       1
851       1
850       1
849       1
847       1
836       1
832       1
828       1
826       1
825       1
821       1
814       1
806       1
803       1
798       1
794       1
791       1
788       1
787       1
783       1
775       1
771       1
766       1
765       1
759       1
757       1
755       1
749       1
748       1
741       1
738       1
737       1
736       1
733       1
732       1
731       1
725       1
720       1
717       1
710       1
705       1
703       1
702       1
700       1
695       1
688       1
676       1
672       1
665       1
662       1
661       1
660       1
656       1
655       1
653       1
634       1
633       1
625       1
619       1
617       1
614       1
613       1
612       1
609       1
608       1
604       1
603       1
601       1
598       1
592       1
590       1
587       1
580       1
574       1
567       1
563       1
562       1
559       1
558       1
556       1
555       1
554       1
546       1
541       1
538       1
533       1
530       1
528       1
520       1
518       1
511       1
509       1
507       1
502       1
501       1
497       1
491       1
485       1
478       1
475       1
472       1
470       1
465       1
463       1
460       1
459       1
454       1
453       1
447       1
446       1
439       1
434       1
432       1
431       1
430       1
429       1
427       1
425       1
421       1
418       1
415       1
414       1
412       1
410       1
409       1
408       1
400       1
399       1
397       1
394       1
392       1
389       1
388       1
383       1
381       1
380       1
379       1
377       1
373       1
371       1
369       1
368       1
365       1
364       1
363       1
362       1
357       1
356       1
353       1
338       1
331       1
329       1
328       1
326       1
322       1
321       1
314       1
305       1
300       1
297       1
295       1
292       1
288       1
287       1
282       1
280       1
279       1
264       1
262       1
261       1
260       1
257       1
256       1
252       1
251       1
247       1
244       1
243       1
236       1
235       1
231       1
227       1
224       1
221       1
215       1
206       1
205       1
201       1
200       1
198       1
197       1
196       1
195       1
194       1
192       1
191       1
187       1
180       1
172       1
170       1
169       1
157       1
152       1
149       1
137       1
135       1
132       1
131       1
130       1
128       1
127       1
124       1
121       1
119       1
117       1
116       1
114       1
112       1
110       1
108       1
94        1
92        1
89        1
86        1
85        1
84        1
83        1
74        1
71        1
69        1
65        1
61        1
58        1
56        1
55        1
52        1
51        1
44        1
43        1
42        1
39        1
33        1
32        1
29        1
26        1
25        1
22        1
19        1
18        1
17        1
11        1
10        1
9         1
5         1
1         1
0         1
